incipit;incipio, incipere, coepī, coeptum  (+ inf) to make a beginning of an action: to begin, start
operit;operio, operīre, operuī, opertum to put one thing over something: to cover, cover up
calceus;calceus, ī, m. an external covering for the foot: a shoe, scandal, boot
gallus;gallus, ī, m. the male counterpart to the chicken: a rooster, cock
nihil;nihil, n. (indecl.) (lit.) not a bit: no thing, nothing, not a bit
parens;parens, parentis, c. either the father or mother: parent, progenitor
regula;rēgula, ae, f. a tool for making a straight edge: a ruler, rule, straight edge
res;rēs, reī, f. (the most general word in latin) anything concrete or abstract: thing, idea, affair, situation, stuff
tabula;"tabula, ae, f. (generally) a flat piece of wood, used for various purposes: (generally) a board, plank; (in school) a tablet"
stilus;"stilus, ī, m. a small pointed metal tool: (for writing) stilus; (for defense) a dagger"
toga;toga, ae, f. the outer garment worn by adult roman men on formal, civic occasions: toga
tunica;tunica, ae, f. the basic garment covering the torso and upper legs: a tunic, shirt, garment
vestimentum;vestīmentum, ī, n. general word for any covering for the body: garment, article of clothing, clothing
alter;alter, altera, alterum ( gen:  alterīus , dat:  alterī) selects one out of a group of two: one of two, another of two, the other of two
apertus;apertus, a, um that which is accessible: open, opened, accessible
clausus;clausus, a, um that which is not accessible: closed, shut, inaccessible
dexter;dexter, dextra, dextrum ( also  dexter, dextera, dexterum) located on the right-hand side: right, on the right, on the right hand, to the right
neuter;neuter, neutra, neutrum  (gen:  neutrīus , dat:  neutrī ) identifies neither of two options: neither
nudus;nūdus, a, um that is without covering: bare, naked, uncovered, nude
omnis;omnis, is, e that selects all of a group: all, every
purus;pūrus, a, um that is free from contaminants: clean, pure, unsullied
sordidus;sordidus, a, um that is mixed with contaminants: dirty, filthy, soiled
sinister;sinister, sinistra, sinistrum that is located on the left-hand side: left, on the left, left-hand
togatus;togātus, a, um that is clothed in a toga: togaed, clothed in a toga, wearing a toga
affert;affero, afferre, attulī, allatum (lit.) to bring to: to bring to, bring over, bring up
cubat;cubo, cubāre, cubuī, cubitum to be in a reclining position: to lie, recline
excitat;excito, excitāre to rouse from a state of inaction or slumber: to wake, rouse, stir up
friget;frīgeo, frīgēre to have a low temperature: to be cold, be chilly, be cool
gerit;gero, gerere, gessī, gestum to have one one's person: to wear (clothing), to bear (equipment)
induit;induo, induere, induī, indūtum to put (clothing) on oneself: to put on, don
lavat;lavo, lavāre, lāvī, lautum  (sup:  lavātum ) to cause something to be clean: to wash, clean, cleanse
mergit;"mergo, mergere, mersī, mersum to put something under water: (generally) to submerge, dunk, dip; to drown (a person), to sink (a ship)"
poscit;posco, poscere, poposcī to request something in a forceful and authoritative manner: to demand, insist upon, require
solet;soleo, solēre, --, solitus sum  (+ inf.) to be in the regular habit of doing something: to be accustomed, to be in the habit of, to be wont
surgit;surgo, surgere, surrexī, surrectum to get to one's full height: to rise, get up, get to one's feet
valet;valeo, valēre to be in good health: to be healthy, be strong, thrive, be okay
vestit;vestio, vestīre to cover (someone) with a garment: to dress, clothe
vigilat;"vigilo, vigilāre to stay awake: to stay awake, be awake; (in military context) remain vigilant, keep watch"
praeter;praeter  (+ acc.) introduces an exception: except, besides, with the exception of
flos;flos, floris, m. the colorful part of a plant or tree that attracts pollen-spreading insects and the like: flower, bloom
uterque;uterque, utraque, utrumque ( gen:  utriusque ,   dat:  utrique) identifies each of two: each of two, both
uter;uter, utra, utrum  (gen:  utrius , dat:  utri ) asks which one of two options: which of two?
discipulus;discipulus, ī, m. one who learns: a student, learner, disciple
domus;"domus, ūs, f. ( loc.  domī,  abl.  domо̄) where someone eats, sleeps, and lives: (generally) home; (specifically) a house in town"
ianua;iānua, ae, f. an opening for entering into a room or building: a door, portal, gate
ludus;lūdus, ī, m. a group of young age students learning reading, writing, and arithmetic: a school, elementary school, grammar school
magister;"magister, magistrī, m. (generally) one who directs students or workers: (of a school) a teacher, coach, instructor; (of a ship) captain"
sella;sella, ae, f. furniture for one person to sit, usually without arms or back: a chair, seat
tergum;tergum, ī, n. the rear side of a person: the back, backside, rear
virga;virga, ae, f. a slender branch: a stick, rod, switch, wand
navis;navis, is, f. a seafaring vessel: a ship, boat
prior;prior , n:  prius that is located forward: front, prior, forward
posterior;posterior,  n:  posterius   ( comparative of  posterus a um ) that is located further back: rear, back, posterior
inferior;inferior ,   n:  inferius   (comparative of  inferus ) that is located lower: lower, bottom
superior;superior,  n:  superius  (comparative of  superus ) that is located above: upper, top
malus;"malus, a, um that does not meet standards either morally or in quality: (quality) poor, inferior, bad; (morally) immoral, unjust, wicked, bad"
severus;sevērus, a, um that is strict in administering punishment: stern, strict, severe
tacitus;tacitus, a, um that makes no noise: silent, quiet, soundless
verus;"verus, a, um that is or speaks truth: (of things and propositions) true, genuine; (of people) truthful, honest"
considit;condo, consīdere, consēdī, consessum to assume a sitting position: to sit down, take a seat
desinit;dēsino, dēsinere, dēsiī to cease (to do something): to cease, quit (doing something), stop (doing something) 
licet;licet  (impersonal + dat. & inf.) it is permitted, it is allowed
punit;pūnio, pūnīre to administer a punishment or discipline for bad behavior: to punish, chastise, discipline
recitat;recito, recitāre to read out loud: to read aloud, read in public, recite
reddit;reddo, reddere, reddidī, redditum to give either in return or to give back something received earlier: to give back, give in return, return, render
redit;redeo, redīre, rediī, redītum to go back to where one came from: to go back, come back, return, turn back
navis;nāvis, nāvis, f. any vessel designed to travel over water: a sea vessel, ship, boat
altum;altum, ī, n. the deep part of a sea or ocean as is obvious from the darker color: deep sea, high sea, the deep
fluctus;fluctus, ūs, m. a moving hill of water: a wave, surge, swell
ventus;ventus, ī, m. moving air: wind, breeze, gust, gale
velum;vēlum, ī, n. a cloth designed to catch the wind and propel a boat: a sail
fulgur;fulgur, fulguris,  n. a sudden, brilliant light: a flash, a lighting up, lightning (but not a bolt)
gubernator;gubernātor, gubernātо̄ris, m. one who steers a boat, but not necessarily the one in charge: a steersman, pilot
merces;mercēs, mercium, f.  ( usually plural) that which is for sale, or produced for sale: goods, wares, merchandise
nauta;nauta, ae, m. one who works on a boat: a sailor, seaman
occidens;occidens, occidentis, m. (lit.) the setting (sun), but often indicating the direction: rising sun, the west
oriens;oriens, orientis, m. (lit.) the rising [sun], but usually referring to the direction: the rising sun, the east
portus;portus, ūs, m. a place, natural or artificial, where ships can reach the shore: a port, harbor, haven
locus;"locus, ī, m.  (pl:  loca ) a location: place, location; (in a book) passage"
ora;"ora, ae, f. the outermost edge of anything, but especially of the sea: shore (of the sea); edge (of a garment); rim (of a container or shield)"
puppis;puppis, is, f. the rearmost part of a ship: the stern, poop, aft
septentriones;septentriо̄nēs, septentriо̄num, m. (lit.) the seven oxen constellation, but especially the direction where the constellation is seen: the seven oxen, the north
tempestas;tempestās, tempestātis, f. (lit.) weather, but especially severe weather: a storm, squall, tempest
tonitrus;tonitrus, ūs, m. the booming sound heard after lightning: thunder, boom
ater;āter, ātra, ātrum that lacks light: dark, dim, murky, black
contrarius;"contrārius, a, um that which goes against or in the face of: opposing, contrary, adverse; (of winds) head-on"
maritimus;maritimus, a, um of or pertaining to the sea: sea (as an adjective), oceanic, maritime, marine
serenus;serēnus, a, um (of weather) that is not turbulent, but peaceful: calm, nice, good (weather)
situs;situs, a, um that is situated permanently: located, situated
superus;superus, a, um  (pos. of  superior ) that is located above: upper, higher
inferus;inferus, a, um that is located below: lower, bottom (as an adjective)
tranquillus;tranquillus, a, um that is not moving or moving much: still, unmoving, tranquil
turbidus;turbidus, a, um that moves much and in unpredictable ways: turbulent, wild, choppy, violent
appellat;appello, appellāre to call the name of: call, call upon, name
cernit;cerno, cernere, crēvī, crētum to recognize the outline of something, especially with the eyes: to discern, see (at a distance), distinguish, make out
complectitur;complector, complect, --, complexus sum to envelope with the arms closely: to embrace, hug, envelop
conatur;conor, conārī  (+ inf.) to make an attempt at doing something: to try, attempt
conscendit;conscendo, conscendere, conscend, conscensum to climb up into or onto (a vehicle): to mount, embark, climb aboard, get in
consolatur;consolor, consolārī to attempt to make a person who is sad feel better: to comfort, console, encourage
egreditur;ēgredior, ēgredī, --, ēgressus sum to take a step in an outward motion: to step out, go out, depart
fit;fio, fierī, --, factus sum the passive counterpart to  facere , to be made or be made to be: to become, to come to be
flat;flo, flāre (of air) to move: to blow, gust
gubernat;guberno, gubernāre to direct in the proper direction, especially of vehicles: to steer, guide, govern
haurit;haurio, haurīre, hausī, haustum generally, to pull a liquid up or out: to draw (water), to bail (water), to drain (a liquid)
iactat;"iacto, iactāre to throw repeatedly or with great force: (repeatedly) to toss about, throw around; (with force) to hurl, beam, chuck"
implet;"impleo, implēre, implēvī, implētum to cause to become full: (of containers) to fill, fill up; (of predictions) to fulfill"
interest;intersum, interesse, interfuī, interfutūrum to be located between or among: to be between, be among
intuetur;intueor, intuērī to look intently upon: to gaze at, to stare at
invocat;invoco, invocāre to call upon (to give aid): to call upon, pray to, invoke
labitur;lābor, labī, --, lapsus sum to move or fall for lack of traction: to slip, slide, glide, lose one's footing, stumble
laetatur;laetor, laetārī to be in an uplifted mood: to be happy, glad, joyful, to rejoice
loquitur;loquor, loquī, --, locūtus sum to engage in conversation: to speak, talk, converse
navigat;nāvigo, nāvigāre to travel by boat: to sail, go by boat, navigate
occidit;"occido, occidere, occidī, occāsum to go all the way down, especially of the sun: (of the sun) to go down, set; (of people) to fall in battle, go down in battle"
opperitur;opperior, opperīrī to remain in anticipation of something: to await, wait for
oritur;"orior, orīrī, --, ortus sum to come up, especially of the sun: (of the sun) to come up, rise; (of a person) to come from a particular region"
proficiscitur;proficiscor, proficiscī, --, profectus sum to commence on a journey: to set off, head out, depart
sequitur;sequor, sequī, --, secūtus sum (lit.) to go after: to go after, come after, follow
servat;"servo, servāre to keep something from harm or consumption: (from harm) to protect, watch over, keep safe; (from consumption) to save up, conserve, keep"
turbat;turbo, turbāre to put into a state of chaos: to stir up, churn up, disturb, rile up
veretur;vereor, verērī to be in a state of anxiety out of anticipation of pain or death: to fear, respect
as;as, assis, m. a large roman coin made of bronze, worth less than a  sestertius  or  denarius : as, penny
denarius;dēnārius, ī, m. a roman coin made of silver, more valuable than the sestertius: denarius
responsum;responsum, ī, n. that which is given in reply: an answer, response, reply, retort
absens;absens, absentis that is not present: absent, gone
certus;"certus, a, um that which is confident or worthy of confidence: (having confidence) sure, confident, certain; (worthy of confidence) reliable, sure, certain"
incertus;"incertus, a, um that which does not have confidence or is unworthy of confidence: (not having confidence) doubting, unsure, uncertain; (unworthy of confidence) unreliable, dubious, wavering, uncertain, unsure"
difficilis;difficilis, is, e that is only accomplished with great effort: difficult, challenging, laborious
doctus;doctus, a, um that has been taught: learned, educated, erudite
facilis;facilis, is, e that is accomplished without much effort: easy, effortless, doable
indoctus;indoctus, a, um that has not been taught: untaught, uneducated
industrius;industrius, a, um that does much: hardworking, diligent, active, industrius
largus;largus, a, um that gives much: generous, liberal (not in a political sense), giving
piger;piger, pigra, pigrum that does not work much: lazy, slothful, slow, remiss
pravus;"prāvus, a, um (lit.) crooked or bent, but usually in a metaphorical sense: (of a person) morally depraved, immoral, perverse; (of an answer) incorrect"
prudens;prūdens, prūdentis that thinks ahead of time: foreseeing, provident, forward looking, wise, intelligent, smart
rectus;"rectus, a, um (lit.) straight or upright, either physically or morally: (morally) good, upstanding, righteous; (physically) straight, not curving; (of answers) correct"
cogitat;cо̄gito, cо̄gitāre  (+ de + abl.) to do some thinking on a subject: ponder on, think about, dwell upon
computat;computo, computāre to perform calculations: to work out (a problem), solve (a problem), calculate
demonstrat;monstro, monstrāre to direct someone's attention by pointing: to show, demonstrate, point out
discit;disco, discere, didicī to acquire new knowledge of something: to come to know, learn, realize
docet;doceo, docēre , docuī, doctum to make someone understand something: to teach, educate, inform, instruct
interpellat;interpello, interpellāre to come into the middle of something suddenly or violently: to interrupt, burst into, cut off
largitur;"largior, largīrī, --, largitus sum to give generously: (in good sense) to lavish, be generous with; (in bad sense) to bribe"
laudat;laudo, laudāre to say the good qualities of something: to praise, speak well of, compliment
nescit;nescio, nescīre to not have knowledge of: to be unaware, be ignorant of, not know
oportet;oportet  (impersonal) (+ acc/inf) impersonal construction that denotes the necessity of reason or duty: (reason) it would make sense, (duty) it would be right
partitur;partior, partīrī to break a whole into parts: to divide, partition, share, divvy up, distribute, apportion
promit;prо̄mo, prо̄mere, prompsī, promptum to draw a thing forth: to pull out, draw out, make ready, ready
reponit;repо̄no, repо̄nere, reposuī, repositum to place a thing back: to put back, replace, reposition
reprehendit;reprehendo, reprehendere, reprehendī, reprehensum (lit.) to hold back, but especially with the idea of keeping someone from an error of some sort by pointing it out: to chastise, scold, criticize, chew out
scit;"scio, scīre to have knowledge of facts or skills: (of facts) to know that; (of skills) to know how"
tollit;"tollo, tollere, sustulī, sublātum to take a thing from a low place to a high place: to lift, raise; pick up, remove"
apis;apis, is, f. insect that makes honey: bee, honey bee
lignum;"lignum, ī, n. the hard material that tree trunks and limbs are made of: wood; log"
materia;"māteria, ae, f. what something is made of: raw material, resources; matter, stuff"
papyrus;papӯrus, ī, m. an egyptian reed from which paper was first made: papyrus
charta;"charta, ae, f. a sheet for writing on made from pressed papyrus: paper, parchment; a document of some sort"
calamus;"calamus, ī, m. (lit.) a hollow reed, but often as a writing implement when filled with ink: (natural) a reed; (implement) an ink pen made from a reed"
cera;cēra, ae, f. the material out of which bees construct their combs: wax
epistula;epistula, ae, f. a personal message written down and meant to be carried to the recipient: a letter, message, epistle
erus;erus, ī, m. one who owns a house or slaves: owner, master, lord, boss
ferrum;"ferrum, ī, n. gray metal from which weapons and tools were made: (generally) iron; (highly refined) steel"
mendum;mendum, ī, n. a mistake made in writing: a mistake, error, typo, slip up
merces;"mercēs, mercēdis, f. something good given in exchange for goods or services: (by arrangement) payment, pay; (out of gratitude) reward, prize"
durus;"dūrus, a, um that does not give in easily: (physically) hard, unyielding, tough; (of people) harsh, overly severe"
mollis;"mollis, is, e that gives way easily: (physically) soft, pliant, yielding, mushy; (of people) weak"
frequens;frequēns,  (gen:  frequentis ) that occurs a lot: frequent, common, packed in closely
rarus;rārus, a, um that does not occur a lot or is spaced out: rare, sparse, infrequent, occasional
impiger;impiger, impigra, impigrum (lit.) that is not lazy: diligent, hard-working, quick
turpis;"turpis, is, e that is very displeasing to the senses: (to the eyes) ugly; (to the ears) harsh, discordant; (to the nose) foul, nasty; (of behavior) dishonorable"
varius;varius, a, um that has differences: diverse, various, different, not uniform
addit;addo, addere, addidī, additum (lit.) to put a thing to others: to add, adjoin, append, slap on
animadvertit;animadverto, animadvertere, animadvertī, animadversum (lit.) to turn one's consciousness to something: to notice, note, take note, realize
comparat;comparo, comparāre to consider two things in terms of each other: compare, weigh one against another, set side by side
iungit;iungo, iungere, iunxī, iunctum to put thing together: to join, couple, connect
legit;"lego, legere, lēgī, lectum (lit.) to gather up, but especially with the idea of gather up words into one's mind: (generally) to gather, pick, collect; (of books) to read, scan"
corrigit;corrigo, corrigere, correxī, correctum to set right something that is wrong: to correct, make right, set right
deest;desum, deesse, defuī, defutūrum for something that should be present to not be: to be missing, to be lacking
delet;dēleo, dēlēre, dēlēvī, dēlētum to complete remove something especially by a scrubbing motion: to wipe out, blot out, scratch out, erase, delete
dictat;dicto, dictāre to speak aloud to someone who writes your words: to dictate
efficit;"effic(i)o, efficere, effēcī, effectum to make something out of parts or materials: to fashion, to make; to cause (something to happen)"
exaudit;exaudio, exaudīre to hear something spoken to another: to overhear, listen in, eavesdrop
premit;premo, premere, pressī, pressum to apply pressure: to push, press, shove
imprimit;imprimo, imprimere, impressī, impressum to apply pressure into something: to press into, push into, impress
intellegit;intellego, intellegere, intellexī, intellectum to know the meaning of something: to understand, comprehend, grasp
signat;signo, signāre to make a mark upon something that will covey meaning to others: to seal, sign, mark
significat;significo, significāre to make known or point to something beyond itself: to signify, mean, indicate, represent
superest;supersum, superesse, superfuī, superfutūrum for something not required to be present: to be extra, extraneous, superfluous
adulescens;adulescēns, adulescentis, m. (lit.) someone still growing: an adolescent, teenager
amor;"amor, amо̄ris, m. the emotion of love, whether in positive or negative sense: (positive) love, affection, passion; (negative) greed, lust, desire"
columna;columna, ae, f. a vertical beam usually carved from stone: a column, pillar
coniunx;coniunx, coniūgis, c. one who is married of either gender: spouse, consort
dea;dea, ae, f.  (dat/ abl, pl:  deābus ) a female divinity: a goddess
domus;"domus, ūs, f.  (loc:  domī ; abl:  domо̄ ) where one lives: a home, house"
donum;dо̄num, ī, n. what is given without payment: a gift, present
flos;"flо̄s, flо̄ris, m. the colorful part of a plant or tree seen in the spring or summer: (lit.) the flower; (trans.) the best part of something"
forum;forum, ī, n. an open place in the city where public and private business occurs: a city square, forum, marketplace
maritus;marītus, ī, m. a man who has a wife: a husband
matrona;matrо̄na, ae, f. a married woman with or without children: matron
pulchritudo;pulchritūdо̄, pulchritūdinis, f. the quality of one's appearance: beauty, attractiveness
signum;signum, ī, n. that which signifies or represents something else: a representation, image, statue, picture, etc.
tectum;tectum, ī, n. the upper part of a building that keeps rain out: a roof, ceiling, cover, shelter
templum;templum, ī, n. the building where a god is worshipped: temple, shrine, sanctuary, church
uxor;uxor, uxо̄ris, f. a woman who has a husband: wife
virgo;virgо̄, virginis, f. young unmarried woman: virgin, maiden, lass
beatus;beātus, a, um that enjoys good fortune: fortunate, blessed, well-off
dignus;dignus, a, um  (+ abl of price) that is good enough for something: worthy, good enough, appropriate
indignus;indignus, a, um  (+ abl. of price) that is not good enough for something: unworthy, not good enough, inappropriate
dives;dīvēs,  (gen:  dīvitis ) that has very much money: rich, affluent, opulent, very wealthy
auget;augeo, augēre, auxī, auctum to make (something) greater: to increase, grow, multiply
convenit;convenio, convenīre, convēnī, conventum (lit.) to come together with: to gather, congregate, meet with
mittit;"mitto, mittere, mīsī, missum (lit.) to let go, (often) to send: to send; to let go, release"
osculatur;osculor, osculārī to give a sign of affection with the lips: to kiss, smooch
possidet;possideo, possidēre, possedī, possessum to have power over (something): to possess, own, hold
remittit;remitto, remittere, remīsī, remissum (lit.) to release something back: to send back, dispatch in return, cause to return
colloquium;colloquium, ī, n. talking between two or more parties: conversation, talk, discourse, dialogue
cunae;cūnae, cūnārum, f., pl. a small bed designed for an infant: crib, cradle
gradus;gradus, ūs, m. placing one foot in front of another: a step, pace, stride
infans;infāns, infantis, c. (lit.) a non-speaker, referring to a very young child: baby, infant, babe
lac;lac, lactis, n. the food all mammals feed their young with: milk
mulier;mulier, mulieris, f. an adult female: woman ,  lady
nutrix;nūtrīx, nūtrīcis, f. one who nurses another woman's baby: a wet nurse, nurse
officium;officium, ī, n. that which one does for others: duty, responsibility, office
sermo;sermо̄, sermо̄nis, m. what is spoken: speech, talk, conversation, discourse, dialogue
silentium;silentium, ī, n. the absence of sound: silence, quiet, hush
somnus;somnus, ī, m. temporary state of unconsciousness: sleep, slumber
alienus;aliēnus, a, um belonging to another: someone else's, another's, foreign, alien, strange
umidus;ūmidus, a, um full of or covered in water: wet, soaked, humid, moist
advehit;adveho, advehere, advexī, advectum to transport to: to import, ship in
alit;"alo, alere, aluī, alitum (lit.) to supply with milk, but sometimes used more generally: (lit.) to nurse; (generally) to support with the necessities, foster"
caret;careo, carēre  (+ abl of origin) to be without (something): to be in want of, to be lacking from, to be in need of
colloquitur;colloquor, colloquī, --, collocūtus sum to be in a conversation: to converse with, dialogue with
curat;"cūro, cūrāre (generally) to take responsibility for something or someone: to care for (a person); to take responsibility or preside over (a task)"
debet;"dēbeo, dēbēre to have an obligation to give something or do something: to owe (something); to be obligated (to do something)"
decet;deceo, decēre to make something more attractive: to suit, flatter, become, be fitting to, be appropriate to
diligit;dīligo, dīligere, dīlēxī , dīlectum to hold (something) in high regard: to esteem, value, love, prefer
fatur;for, fārī to make words aloud: to say, speak, talk
manet;maneo, manēre, mansī, mansum to be in a place over time and not depart: to remain, stay, linger, loiter
non vult;"nolo, nolle, noluī to not have a desire for (something): to not want, be unwilling; to refuse"
occurrit;occurro, occurrere, occurr, occursum  (+ dat.) (lit.) to run up against: to meet up with, run into, bump into, happen upon
pergit;pergo, pergere, perrexī, perrectum to not cease to go or do something: to continue, go on, persist
postulat;postulo, postulāre to order that (something or some service) to given: to demand, insist upon, require
revertitur;revertor, revertī, --, reversus sum (lit.) to be turned back: to return, turn back, go back
silet;sileo, silēre to not make any sound: to be silent, remain silent, be quiet
vagit;vāgio, vāgire to make the sound of an unhappy infant: to wail, cry, bawl
bos;bо̄s, bо̄vis, c.  (dat/abl, pl:  būbus ) an ox of the male or female gender: cow (f.), bull (m.), ox
causa;causa, ae, f. the accounting for which a thing occurs: a cause, reason, justification
cornu;"cornū, cornūs, n. the hard protuberance found on the heads of some kinds of animals: horn, antler; (on insects) antenna"
cruor;cruor, cruо̄ris, m. blood that is shed (as opposed to inside the body): gore, blood, spatter
genu;genū, genūs, n. the joint that joins the upper and lower leg: knee
humus;"humus, ī, f.  (loc:  humī ) (lit.) soft earth, but often the plane upon which people stand, especially outdoors: (proper) soil, dirt; (location) ground, floor"
porcus;porcus, ī, m. animal domesticated for its meat: pig, swine, hog
pugna;"pugna, ae, f. a violent contest, physical or verbal, between two or more parties: a fight, duel, battle; brawl, quarrel, dispute"
solum;solum, ī, n. (lit.) soft earth itself or plane where people stand, especially indoors: (proper) soil, dirt: (location) floor, ground
sordes;sordēs, sordium, f. soil out of place: dirt, filth, muck, dirtiness
angustus;angustus, a, um of little width: narrow, thin
candidus;candidus, a, um of a brilliant white color, especially of new garments and hair: white, bright white
falsus;"falsus, a, um that lacks truth: (of people) untruthful, lying; (of facts) untrue, false, inaccurate"
indignus;indignus, a, um  (+ abl. of price) that does not have sufficient value: unworthy of, unsuitable for
mundus;mundus, a, um that is in order and without filth: clean, pure, neat, tidy, organized
validus;validus, a, um that has great physical strength: strong, powerful, healthy
ait;aio to make words aloud: to speak, say
cognoscit;cognо̄sco, cognо̄scere, cognо̄vī, cognītum to understand that something is already known to you: to recognize, realize
conspicit;conspicio, conspicere, conspexī, conspectum to begin to see: to catch sight of, spot
credit;crēdo, crēdere, crēdidī, crēditum to firmly hold something to be true: to believe, hold
dubitat;dubito, dubitāre to lack confidence: be in doubt, doubt, be uncertain
excusat;excūso, excūsāre to give a justification for some shortcoming: to make an excuse, to excuse
mentitur;mentior, mentīrī to say something that is not true: to lie, tell a falsehood
mutat;mūto, mūtāre to cause something to change state or position: to change, exchange, swap, switch
narrat;narro, narrāre to give an account of things in chronological order: to tell, narrate, recount, retell
vincit;"vinco, vincere, vīcī, victum to gain the upper hand in a contest of some sort: to defeat, conquer, best; to win, be victorious"
aurum;aurum, ī, n. metal valued for rarity, malleability, and resistance to corrosion: gold
cardo;cardо̄, cardinis, m. device for allowing doors to pivot: hinge, pivot
catena;catēna, ae, f. linked metal rings forming a cable: a chain, shackle
faber;faber, fabrī, m. a person who builds things of any sort: craftsman, smith, builder
fores;forēs, forium, f., pl. a two-paneled entryway: double doors
ianitor;iānitor, iānitо̄ris, m. the servant who lets people in and out of the door: doorman, doorkeeper
imago;imāgо̄, imāginis, f. any form of image, representation, likeness: a picture, statue, mosaic, mural, etc.
lignum;"lignum, ī, n. the pulp of a tree: (properly) wood; (generally) a log"
limen;līmen, līminis, n. the lower part of an entryway, across which one must cross: threshold, doorstep
pallium;pallium, ī, n. a less formal outer garment: cloak, coat
tabellarius;tabellārius, ī, m. (lit.) one who carries a wax tablet, but used to mean any kind of letter carrier: messenger, letter carrier
aureus;aureus, a, um made out of gold: golden, gilded
ferox;ferо̄x,  (gen  ferо̄cis ) characterized by extremely aggressive behavior, usually negative: fierce, savage, blood-thirsty, aggressive
ferreus;ferreus, a, um made of iron or steel: iron, steel
cedit;cēdo, cēdere, cessī, cessum (lit.) to take a step, but often with a sense of yielding: to step, step back, yield
accedit;accēdo, accēdere, accessī, accessum (lit.) to take step towards: to approach, come, draw near, draw close
admittit;admitto, admittere, admīsī, admissum to allow a person into a place: to admit, allow in, permit to enter
arbitratur;arbitror, arbitrārī to hold as an opinion: to think, believe, reckon, hold
cavet;caveo, cavēre, --, cautus sum to be cautious in respect to something: to be wary of, be careful around, beware
custodit;cūstо̄dio, cūstо̄dīre to keep a thing from harm: to guard, keep watch over, protect
deridet;dērideo, dēridēre, dērīsī , dērīsum (lit.) to laugh down: to mock, scorn, deride, make fun of
monet;moneo, monēre (generally) to bring something to mind, but often with the idea of giving advice: to warn, advise, bring to mind, remind
mordet;mordeo, mordēre, momordī, morsum to seize with the teeth: to bite, nip, chomp
pellit;pello, pellere, pepulī, pulsum to give a violent push: to shove, thrust, push (explosively)
prehendit;prehendo, prehendere, prehendī, prehensum to begin to hold: to grab, grab hold, grasp, grip, hold, seize
procedit;prо̄cēdo, prо̄cēdere, prо̄cessī, prо̄cessum (lit.) to take a step forward: to advance, proceed, go forth
recedit;recēdo, recēdere, recessī, recessum (lit.) to take a step backwards: to step back, back up, go back, yield, retreat, recede
removet;removeo, removēre, remо̄vī, remо̄tum (lit.) to move something back, often with the idea of displacing: to remove, get rid of, displace
retinet;retineo, retinēre, retinuī, retentum (lit.) to hold back: to restrain, retain
rogitat;rogito, rogitāre to ask a question often: to ask repeatedly, berate with questions
rumpit;rumpo, rumpere, rūpī, ruptum to break apart with violence: break, shatter, burst
salit;salio, salīre, saluī, saltum to propel oneself upward suddenly: to jump, leap, bound, hop
scindit;scindo, scindere, scīdī, scissum to divide by pulling in opposite directions: to tear, rip
sinit;sino, sinere, sīvī, situm to do nothing to stop something: to allow, permit, let (someone do something), leave be
solvit;solvo, solvere, solvī, solūtum to undo (generally): to untie, loose, release, loosen, free, undo
terret;terreo, terrēre to instill with fear: to frighten, scare, spook, terrorize
tremit;tremo, tremere, tremuī to move back and forth very slightly and quickly: to tremble, shake, quiver, vibrate
vincit;vincio, vincīre, vinxī, vinctum to fasten a thing with bonds: to tie up, bind, fasten
clavis;clāvis, is, f. a device for unlocking a padlock or door lock: a key
comes;comes, comitis, m. one who goes with: a companion, attendant
factum;factum, ī, n. what has been done: a deed, action
laus;laus, laudis, f. a declaration of someone's merits: praise, complement
litterae;"litterae, ārum, f. (lit.) letters; anything written down, but especially a letter: letter, epistle; literature, writing, etc."
promissum;prо̄missum, ī, n. something spoken with great assurance: a promise, oath, word of honor
pudor;"pudor, pudо̄ris, m. the uncomfortable emotion resulting from unwanted attention: (in a bad sense) shame; (in a good sense) modesty; (in a neutral sense) embarrassment"
signum;signum, ī, n. (gen.) that which represents something beyond itself: (on a letter or official communication) a wax seal that indicates and authenticates the author
verbera;verbera, verberum, n. (lit.) blows of a whip: a beating, spanking, whipping, licks (of a whip)
vultus;vultus, vultūs, m. specifically, the front of the face including the forehead, eyes, nose, mouth, and cheeks: the face, visage, appearance
funis;fūnis, fūnis, m. fibers (usually of flax) twined together to form a tool for tying: a rope, cord, cable
integer;integer, integra, integrum that which is not divided into pieces: intact, unbroken, whole, in one piece
pallidus;pallidus, a, um that which lacks color: pale, colorless, pallid, blanched
planus;plānus, a, um that which is easily seen: plain, clear, obvious, out in the open
avertit;āverto, āvertere, āverti, āversum (lit.) to turn away: to turn away, turn aside, avert
comitatur;comitor, comitārī to be in the company of a person: to accompany, be a companion to, go with
continet;contineo, continēre, continuī, contentum to hold within oneself: to contain, hold
debet;"debeo, debēre (generally) to have an obligation: (of money or property) to owe; (of actions) ought, should "
dimittit;dīmitto, dīmittere, dīmīsī , dīmissum to send away: to send away, dismiss, let go, fire
fatetur;fateor, fātērī, --, fassus sum to declare something to be true: to admit, confess
negat;nego, negāre to declare something to be false: to deny, say no, refuse
includit;inclūdo, inclūdere, inclūsī, inclūsum (lit.) to close in: to enclose, pen up, shut in, shut out
inscribit;inscrībo, inscrībere, inscripsī, inscriptum (lit.) to write upon: to write on, inscribe on, jot down on
meret;mereo, merēre to act so as to have a just claim to something: to earn, deserve
pallet;palleo, pallēre to lack color: to be pale, be colorless, to flush
